Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
895216920805-18,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Bruxelles,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",0,
607198820829-65,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,France,Paris,"European		global","Humanitarian Aid		Culture		Environment",0,
596533820765-19,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United States,New York,global,"Agriculture and Rural Development		Development		Energy		Fisheries and Aquaculture		Climate Action",0,
258845020786-10,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United States,California,global,"Economic and Financial Affairs		Trade		Competition		Enterprise		Public Health",,100000-199999
63322037415-37,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"General and Institutional Affairs		Agriculture and Rural Development		Budget		Competition		Consumer Affairs		Enterprise		Environment		Internal Market		Fisheries and Aquaculture		Research and Technology		Public Health		Food Safety		Climate Action",,50000-99999
961181120948-12,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,United Kingdom,Warwickshire,national,"General and Institutional Affairs		Agriculture and Rural Development		Budget		Competition		Environment		Internal Market		Regional Policy		Research and Technology		Public Health		Food Safety",,600000-699999
150920420956-26,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United States,Washington,global,"Trade		Competition		Consumer Affairs		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Trans-European Networks		Public Health		Information Society",,100000-199999
153380620436-07,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Other sub-national public authorities,Italy,ROMA,regional/local,"Agriculture and Rural Development		Audiovisual and Media		Culture		Development		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Justice and Fundamental Rights		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Climate Action",3286000,
616861420790-39,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,France,Paris,national,"Audiovisual and Media		Competition		Consumer Affairs		Culture		Education		Employment and Social Affairs		Energy		Enterprise		Taxation		Information Society		Sport",,0-9999
065311420876-03,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,La Trinité sur Mer,global,"General and Institutional Affairs		Economic and Financial Affairs		Enterprise		Foreign and Security Policy and Defence		Research and Technology		External Relations",,10000-24999
377062620692-57,II - In-house lobbyists and trade/business/professional associations,Other organisations,Germany,Wachtberg,national,"Agriculture and Rural Development		Trade		Consumer Affairs		Environment		Food Safety",,0-9999
608007420695-66,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",Sweden,Uppsala,"European		global		national","Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Energy		Environment		Fisheries and Aquaculture		Research and Technology		Food Safety		Climate Action",950000,
712668321423-77,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,Paris,European,"Competition		Consumer Affairs		Enterprise		Environment		Internal Market		Foreign and Security Policy and Defence		Public Health		Climate Action",,50000-99999
317694521372-89,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Poland,Warszawa,national,"General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,0-9999
812256621363-72,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,European,Justice and Fundamental Rights,,0-9999
063949321631-11,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Switzerland,Petit-Lancy,global,"Education		Environment		Public Health		Food Safety",0,
095318821630-24,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Spain,Barcelona,national,"Energy		Environment		Research and Technology		Transport		Climate Action",,100000-199999
743526921645-36,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,United Kingdom,Sleaford,"European		global","Trade		Competition		Consumer Affairs		Development		Energy		Enterprise		Environment		Internal Market		Research and Technology		Public Health		Climate Action",,0-9999
768792210017-73,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,European,"General and Institutional Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Development		Education		Employment and Social Affairs		Enterprise		Environment		Internal Market		Research and Technology		External Relations		Trans-European Networks		Public Health		Information Society		Communication		Financial Stability		Financial Services and Capital Markets Union",,200000-299999
565032821273-72,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Competition		Energy		Environment		Internal Market		Research and Technology		External Relations		Trans-European Networks		Climate Action",,25000-49999
535976721562-86,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,300000-399999
486088021351-75,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Gajoubert,"European		national","Justice and Fundamental Rights		Foreign and Security Policy and Defence		Home Affairs",0,
423355921224-78,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Paris,"European		national		regional/local","General and Institutional Affairs		Agriculture and Rural Development		Budget		Consumer Affairs		Environment		Internal Market		Regional Policy		Research and Technology		Public Health		Food Safety",190000,
045325621371-66,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,United Kingdom,Frodsham,global,"Agriculture and Rural Development		Environment		Research and Technology		Food Safety",25000,
447282121427-97,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,Madrid,national,"Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Enterprise		Environment		Internal Market		Research and Technology		Food Safety		Climate Action",,50000-99999
681541221345-56,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Portugal,Lisbon,European,"Economic and Financial Affairs		Budget		Competition		Culture		Education		Employment and Social Affairs		Enterprise		Youth		Regional Policy		External Relations",,25000-49999
352117021446-22,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,London,"European		global		national","Economic and Financial Affairs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Climate Action		Financial Stability		Financial Services and Capital Markets Union",,10000-24999
659880521428-16,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Leer,"European		national		regional/local","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Development		Customs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Fisheries and Aquaculture		Regional Policy		Research and Technology		Trans-European Networks		Food Safety		Climate Action",0,
030092221347-76,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,Madrid,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Competition		Consumer Affairs		Development		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Food Safety		Transport		Climate Action",,50000-99999
463712321359-48,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Finland,FI - Espoo,national,"Energy		Environment		Transport		Climate Action",0,
901413021366-22,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Portugal,Porto,European,"Culture		Development		Education		Enterprise		Information Society",50000,
683034821431-24,"IV - Think tanks		research and academic institutions",Academic institutions,Belgium,Brussels,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
556619821522-16,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Canada,Halifax,national,"Economic and Financial Affairs		Education		Employment and Social Affairs		Youth		Fisheries and Aquaculture		Research and Technology",,0-9999
124199721696-11,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,global,"Humanitarian Aid		Education		Public Health		Climate Action",,50000-99999
38315289949-88,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Finland,Joensuu,"European		global		national		regional/local","Economic and Financial Affairs		Agriculture and Rural Development		Development		Energy		Environment		Research and Technology		Climate Action",,9750000-9999999
479298022355-68,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Germany,Hamburg,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Trade		Competition		Consumer Affairs		Culture		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Internal Market		Fisheries and Aquaculture		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
842383021903-49,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,Vitry sur seine,national,"Competition		Consumer Affairs		Customs		Employment and Social Affairs		Environment		Public Health		Food Safety		Climate Action",,50000-99999
895102222358-48,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Austria,Salzburg,national,"Audiovisual and Media		Communication",40000000,
108641622360-47,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,United Kingdom,London,global,"Information Society		Communication",0,
162016821658-64,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",Spain,15705 Santiago de Compostela (A Coruña),regional/local,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,100000-199999
620584521981-66,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Berlin,national,"Research and Technology		Communication",,0-9999
036247021982-43,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Italy,Roma,"European		national		regional/local","Competition		Customs		Employment and Social Affairs		Environment		Trans-European Networks		Transport		Climate Action",,100000-199999
737577921128-55,V - Organisations representing churches and religious communities,Organisations representing churches and religious communities,United Kingdom,LONDON,"European		global		national		regional/local","General and Institutional Affairs		Humanitarian Aid		Education		Environment		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		Regional Policy		Public Health		Information Society		Home Affairs",,25000-49999
372209821529-64,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,paris,global,"Agriculture and Rural Development		Humanitarian Aid		Development		Environment		Food Safety		Climate Action",,0-9999
578001221797-91,II - In-house lobbyists and trade/business/professional associations,Other organisations,Germany,Dusseldorf,European,"General and Institutional Affairs		Trade		Competition		Employment and Social Affairs		Enterprise		Environment		Youth		Research and Technology		Trans-European Networks		Information Society		Transport		Climate Action		Communication",0,
180809521865-79,"IV - Think tanks		research and academic institutions",Academic institutions,Spain,Cádiz,global,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Culture		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action",,100000-199999
945661521767-46,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Italy,Segrate,national,"Economic and Financial Affairs		Competition		Consumer Affairs		Customs		Enlargement		Energy		Environment		Internal Market		Foreign and Security Policy and Defence		Trans-European Networks		Transport		Home Affairs",140000,
026007721768-32,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Ireland,Cork,national,"Energy		Environment		Internal Market		Research and Technology		Trans-European Networks		Transport		Climate Action",,25000-49999
076604021492-79,"IV - Think tanks		research and academic institutions",Academic institutions,Italy,Venezia,"European		national		regional/local","Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Culture		Development		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Justice and Fundamental Rights		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Climate Action		Home Affairs		Financial Stability		Financial Services and Capital Markets Union",,10000-24999
012956421355-45,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,Kehl am Rhein,"European		global","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,200000-299999
36820998995-30,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Portugal,LISBOA,global,"Energy		Environment		Internal Market		Research and Technology		External Relations		Trans-European Networks",,600000-699999
097406221877-69,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Norway,Oslo,national,"Energy		Environment		Transport		Climate Action",,0-9999
278435521661-59,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Austria,Wien,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Education		Enlargement		Employment and Social Affairs		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Research and Technology		Trans-European Networks		Public Health		Information Society		Transport		Climate Action		Financial Stability		Financial Services and Capital Markets Union",,200000-299999
